asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1610211600000,1610211600000,3.0,3.2611785209194437,3.2595487465461708,2.6070267409080965,89.169,-23.289,0.2792,1.1262,0.0,-23.5682,9718.9836,SL Hit,0
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1610218800000,1610334000000,3.4,3.0823098181774506,3.083851744049475,3.8218947999312842,314.583,-99.9399,1.0196,2.6871,8.247,-109.2066,9609.777,SL Hit,32
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1610478000000,1610488800000,3.8,3.50309907036435,3.504851496112406,4.152356255399436,354.541,-105.2636,1.2946,9.3785,0.0,-106.5582,9503.2189,SL Hit,3
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1610960400000,1611000000000,4.1,3.8478410312599975,3.8497659142171057,4.432504539758772,344.277,-86.8125,1.3681,10.268,1.9918,-90.1724,9413.0464,SL Hit,11
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612206000000,1612231200000,4.5,4.688581173499254,4.281004821491283,4.690926636817663,274.281,51.7242,1.2601,13.2877,0.6233,49.8408,9462.8873,TP Hit,7
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612256400000,1612364400000,5.3,5.640282925067459,5.0166727763395995,5.643104477306112,360.866,122.7965,1.974,8.6325,10.1087,110.7138,9573.6011,TP Hit,30
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1612375200000,1612389600000,5.5,5.791093565753136,5.788199466020126,5.297400533979873,390.123,-113.5623,2.2025,17.8653,0.0,-115.7648,9457.8363,SL Hit,4
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612472400000,1612476000000,6.1,6.362723363696141,5.86087431483089,6.365906316854567,395.352,103.8682,2.4636,2.0491,0.0,101.4046,9559.241,TP Hit,1
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1612515600000,1612540800000,6.8,7.101498911837882,7.097949936869448,6.522450063130552,332.207,-100.16,2.3091,4.6672,-5.7523,-96.7168,9462.5241,SL Hit,7
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612688400000,1612702800000,6.4,6.849163471335284,6.108707368322756,6.852589766218393,303.878,136.4909,2.0131,6.6933,0.0,134.4778,9597.002,TP Hit,4
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612774800000,1612800000000,7.5,8.013805653008538,7.06404951659215,8.01781456028868,240.375,123.506,1.8646,8.6556,3.5343,118.1072,9715.1091,TP Hit,7
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1612990800000,1613023200000,8.8,9.344366376759663,8.29921319251256,9.349040897208265,195.362,106.3485,1.7724,3.2771,2.8952,101.6809,9816.7901,TP Hit,9
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1613120400000,1613131200000,9.5,9.906882371330175,9.901931405627362,9.027668594372638,224.573,-91.3748,2.1791,9.3986,0.0,-93.5539,9723.2361,SL Hit,3
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1613134800000,1613138400000,9.9,9.540187166977134,9.544959646800534,10.344100392443854,256.861,-92.4219,2.4967,7.3392,0.0,-94.9186,9628.3175,SL Hit,1
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1613725200000,1613732400000,9.5,9.877030875820827,9.872094828406624,9.076705171593375,121.052,-45.6403,1.1728,3.7812,0.0,-46.8132,9581.5044,SL Hit,2
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1613736000000,1613736000000,9.9,10.259866530371848,9.503480873101887,10.264999029886791,265.622,95.5885,2.6775,10.846,0.0,92.911,9674.4154,TP Hit,0
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1613754000000,1613829600000,11.1,10.464509727946766,11.806919912097186,10.459280087902815,71.788,45.6206,0.774,2.9598,-2.1592,47.0057,9721.4211,TP Hit,21
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1613908800000,1613926800000,10.7,11.353971821528303,10.287142813906577,11.359651647351978,216.533,141.6065,2.3877,8.7219,2.2403,136.9785,9858.3996,TP Hit,5
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1613937600000,1613952000000,11.3,10.797907933488416,11.873888322350409,10.79251167764959,182.331,91.5469,2.0146,7.1102,-2.0594,91.5918,9949.9914,TP Hit,4
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1613991600000,1614002400000,9.8,10.322005135245906,10.316846711889962,8.985646233486165,22.32,-11.6512,0.2246,1.0749,0.0,-11.8757,9938.1157,SL Hit,3
