system,group,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,live_known,trade_log_path,trade_log_hash,params,candidate_id,candidate_hash,family,execution_status,behavior_cluster,selection_status,registered_status
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": null, ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.12, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.0, ""min_projected_net_R"": 1.1, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0030,22e746649b1f2cd2,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,2122814226bd0530,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.12, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.0, ""min_projected_net_R"": 1.1, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0031,fe1a0864fb6e7a49,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,a413601f71df69e7,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.12, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.0, ""min_projected_net_R"": 1.1, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0032,3d0114ee64376c1d,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,69bf862c98a9a28b,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.0, ""min_projected_net_R"": 1.1, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0033,a75a404a00bbfc97,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,ea098caef8cf3fac,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.0, ""min_projected_net_R"": 1.1, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0034,26ea8d4bee755f69,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,93b01c296509d50f,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.1, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0035,50be5f1e301d74e3,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,2b02bfd526446fa3,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": null, ""allowed_sources"": null, ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.1, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0036,cb9b6b3145097bad,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,7e328e19fa0b43a8,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.1, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0037,ce5bc07b45592d5a,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,3dbd139075b1b085,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": null, ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 0.001, ""max_cost_to_risk"": 0.15, ""min_adx"": 15, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.1, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0038,8015d77a5936811e,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,4edb0e42256d6e68,,REGISTERED
,,,,,,,,,,,,,,,,,,,,,,,,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 0.001, ""max_cost_to_risk"": 0.15, ""min_adx"": 18, ""min_atr_pct"": 0.35, ""min_expected_R"": 1.1, ""min_projected_net_R"": -999.0, ""off_hours_min_expected_R"": 1.35}",P36_CAND_0039,1577fb9f48c41e29,strategy1_guarded_expansion,REGISTERED_NOT_EXECUTED_RUNTIME_LIMIT,5c4f231803db044c,,REGISTERED
