diff_type,protected_trades,rebuilt_trades,common_keys,missing_from_rebuild,extra_in_rebuild,pnl_gap,pf_gap,dd_gap,status,key
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610103600000, ""Long"", 40854.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610305200000, ""Short"", 38164.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610337600000, ""Short"", 35451.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610499600000, ""Short"", 32551.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610575200000, ""Long"", 37376.3]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610726400000, ""Short"", 35674.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1610874000000, ""Short"", 34746.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611226800000, ""Short"", 32842.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611342000000, ""Long"", 33306.4]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611633600000, ""Short"", 31504.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611756000000, ""Short"", 30259.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611874800000, ""Long"", 33487.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1611925200000, ""Long"", 37921.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1612789200000, ""Long"", 43527.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1613055600000, ""Long"", 48008.8]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1613757600000, ""Long"", 54908.8]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1613988000000, ""Short"", 54825.1]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1614049200000, ""Short"", 51256.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1614139200000, ""Long"", 50917.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1614614400000, ""Long"", 49209.1]"
