fusion,entry_time,reason,session,expected_R
high_pf_conservative_fusion,1579302000000,FILTER_REJECTED,OFF_HOURS,0.9478445698046972
high_pf_conservative_fusion,1579424400000,FILTER_REJECTED,LONDON,0.9113808942767426
high_pf_conservative_fusion,1579881600000,FILTER_REJECTED,NEW_YORK,0.9392204432209859
high_pf_conservative_fusion,1580173200000,FILTER_REJECTED,OFF_HOURS,1.0435084856049694
high_pf_conservative_fusion,1580245200000,FILTER_REJECTED,NEW_YORK,0.9476961362682481
high_pf_conservative_fusion,1580274000000,FILTER_REJECTED,OFF_HOURS,0.9552571567044643
high_pf_conservative_fusion,1580428800000,FILTER_REJECTED,OFF_HOURS,0.9446846415625841
high_pf_conservative_fusion,1580641200000,FILTER_REJECTED,LONDON,0.9157821021572101
high_pf_conservative_fusion,1580922000000,FILTER_REJECTED,NEW_YORK,0.9262973255044004
high_pf_conservative_fusion,1580929200000,FILTER_REJECTED,NEW_YORK,1.0369029107238537
high_pf_conservative_fusion,1580950800000,FILTER_REJECTED,OFF_HOURS,0.9389847036331528
high_pf_conservative_fusion,1583996400000,FILTER_REJECTED,OFF_HOURS,1.347237274138621
high_pf_conservative_fusion,1584057600000,FILTER_REJECTED,OFF_HOURS,1.371884726689467
high_pf_conservative_fusion,1584126000000,FILTER_REJECTED,NEW_YORK,0.9945006887014343
high_pf_conservative_fusion,1584309600000,FILTER_REJECTED,OFF_HOURS,1.3648951911983387
high_pf_conservative_fusion,1584529200000,FILTER_REJECTED,LONDON,0.9871996547512475
high_pf_conservative_fusion,1584612000000,FILTER_REJECTED,LONDON,1.0819819763356726
high_pf_conservative_fusion,1585357200000,FILTER_REJECTED,OFF_HOURS,1.0833301734213412
high_pf_conservative_fusion,1585530000000,FILTER_REJECTED,OFF_HOURS,0.9626712723011933
high_pf_conservative_fusion,1585746000000,FILTER_REJECTED,NEW_YORK,0.9513983914086337
high_pf_conservative_fusion,1585785600000,FILTER_REJECTED,OFF_HOURS,1.3466676326483267
