month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status
2023-10,-204.619266827236,4,0,4,0.0,0.0,0.0,-204.619266827236,32.53775050208422,32.535970778947274,-0.15458988987099997,negative
2023-11,-138.1480976932128,4,0,4,0.0,0.0,0.0,-138.1480976932128,11.405878846056106,11.413913286975745,0.47388504,negative
2023-12,-142.2197259104625,7,1,6,0.14285714285714285,0.18639658923499972,32.58254756665913,-174.80227347712164,24.994043847948227,24.989655348106595,-2.571235428248,negative
2024-01,-126.31850131048958,5,1,4,0.2,0.102999073134421,14.504654527139971,-140.82315583762954,11.641234412125888,11.642230542006823,0.8232602300000001,negative
2024-02,-113.15336302990195,6,0,6,0.0,0.0,0.0,-113.15336302990195,28.62213726944209,28.621683033963514,1.620837223698,negative
2024-03,-87.61019182095504,7,1,6,0.14285714285714285,0.24810146770832242,28.908444748173363,-116.51863656912839,7.851424565337764,7.850486180247266,0.488820580087,negative
2024-04,-64.26674800554807,14,1,13,0.07142857142857142,0.4770600436846082,58.62833245142885,-122.89508045697691,16.107226601298663,16.105164743495855,-1.1395507550900001,negative
2024-05,-85.92015411209647,12,0,12,0.0,0.0,0.0,-85.92015411209647,15.089161886806927,15.097756243467412,0.42468406118199997,negative
2024-06,-11.811598784803918,14,1,13,0.07142857142857142,0.653241432546149,22.25129076838899,-34.06288955319291,9.148356450742854,9.149628615050037,0.51294381977,negative
2024-07,-43.00614352380576,12,1,11,0.08333333333333333,0.07300421101935124,3.3868865579128986,-46.393030081718656,4.16142163437746,4.161111538530182,0.0352220652,negative
2024-08,8.82021477443218,11,2,9,0.18181818181818182,1.092848212992744,103.81627867413789,-94.9960638997057,17.38452821557925,17.381365924506156,0.11780495987899996,positive
2024-09,-112.8988878897344,5,0,5,0.0,0.0,0.0,-112.8988878897344,8.99962188362303,8.995364460557328,0.42513970648,negative
2024-10,-39.137292409021725,8,1,7,0.125,0.2234636432716933,11.262527341742397,-50.399819750764124,7.951597079824597,7.95174980492203,-0.98306432,negative
2024-11,100.8533052117298,8,3,5,0.375,2.9901260284836177,151.53014867202828,-50.67684346029847,17.655434063654177,17.656251560757518,1.686525343718,positive
2024-12,-97.88537525372433,4,0,4,0.0,0.0,0.0,-97.88537525372433,12.184264277838034,12.18643276145676,-1.32304470018,negative
2025-01,-101.50143391901918,2,0,2,0.0,0.0,0.0,-101.50143391901918,14.024322264,14.025927999999025,-0.05141634498000001,negative
2025-02,-8.337345120273042,14,3,11,0.21428571428571427,0.9102688672550776,84.5773976811301,-92.91474280140312,40.02872104232752,40.0332003583644,-1.2697233617210002,negative
2025-03,16.172239363731897,13,1,12,0.07692307692307693,2.991208305524383,24.29406133427302,-8.121821970541124,10.433575512230753,10.432316993734146,-0.273219337466,positive
2025-04,-22.643216931214837,12,1,11,0.08333333333333333,0.5191904012796007,24.45072002735727,-47.09393695857211,8.843561990970988,8.843746019210885,0.439370498268,negative
2025-05,78.89461508693124,10,2,8,0.2,0.0,78.89461508693124,0.0,12.34636449612515,12.348378278240634,0.4366058384,positive
2025-06,-92.02656418901677,9,1,8,0.1111111111111111,0.3225269684638868,43.81141002577118,-135.83797421478795,30.96771483146887,30.96699765269486,0.635757095287,negative
2025-07,-75.68618624510378,14,1,13,0.07142857142857142,0.1967937020263762,18.54388445534933,-94.2300707004531,14.435559906326377,14.438172692672001,1.2088389915320001,negative
2025-08,-125.61460420780867,14,1,13,0.07142857142857142,0.12337855789026465,17.6794086622122,-143.29401287002088,24.89901033138327,24.89674274223289,0.7366495444050001,negative
2025-09,13.281370966753634,13,2,11,0.15384615384615385,1.2725522859293468,62.01099699600124,-48.729626029247605,25.851727345096485,25.848423941358938,-0.780372333444,positive
2025-10,87.62966380834533,13,3,10,0.23076923076923078,2.8206226346930334,135.7613645455056,-48.13170073716026,18.41681976275922,18.417490468884147,1.876634132984,positive
2025-11,-41.56335290934133,15,1,14,0.06666666666666667,0.0792185335161051,3.5758624443902733,-45.13921535373161,7.515757648201826,7.515948541930221,-0.235337142513,negative
2025-12,-95.9097811209962,10,0,10,0.0,0.0,0.0,-95.9097811209962,15.626565781905455,15.623412218013879,-0.40586085,negative
2026-01,17.99428306687976,13,1,12,0.07692307692307693,1.61327519005066,47.33556958687306,-29.341286519993304,13.326690003025673,13.325681934148538,0.6623410481159999,positive
2026-02,-95.01703267430969,7,0,7,0.0,0.0,0.0,-95.01703267430969,6.30638170879883,6.3075486071374325,0.11655649187999999,negative
2026-03,-32.414720292904185,7,1,6,0.14285714285714285,0.41268216696408944,22.77638487982474,-55.191105172728925,7.970895431947335,7.971662008142739,-0.00775343371300001,negative
2026-04,-85.42050412692468,15,0,15,0.0,0.0,0.0,-85.42050412692468,11.090671309851484,11.089284169174324,-0.402555000096,negative
2026-05,-39.9280927998011,6,0,6,0.0,0.0,0.0,-39.9280927998011,4.418351931987794,4.417295527693582,-0.18963247500000002,negative
2026-06,-18.581571887143237,16,2,14,0.125,0.4965035813114749,18.323500716040936,-36.90507260318417,6.30945701650202,6.312191179712128,0.260664266602,negative
