strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1629237600000,2021-08-17 22:00:00+00:00,1629302400000,2021-08-18 16:00:00+00:00,Short,3028.0,3120.207138233543,3118.64781432638,3118.64781432638,2905.6119245466944,0.991,-91.37727398944111,3.046436636994721,1.4567699999998016,1.545289991998693,3.002059991998495,-0.907479511,-93.51623111543582,8746.004454282394,SL Hit,-1.017202002262832,18,False,False,False,False,2021-08-18 16:00:00,2021-08,2021,OFF_HOURS,False,P39_CAND_0551:BB Expansion Short,1.350149216093001,6.955976139993216,0.07673628086550484,1.2727160366121688
P39_CAND_0551:BB Expansion Long,1629403200000,2021-08-19 20:00:00+00:00,1629464400000,2021-08-20 13:00:00+00:00,Long,3151.2,3251.595729080497,3253.2223402506224,3074.974715019552,3253.2223402506224,1.172,117.66379448234295,3.752038297241171,1.8634799999996374,1.9063882913867527,3.7698682913863903,1.7622221351568,112.14953404994498,8858.153988332338,TP Hit,1.317092210363656,17,False,False,False,False,2021-08-20 13:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3384317326828241,9.284128723784361,0.12179854396301446,1.234508060359433
P39_CAND_0551:BB Expansion Short,1629828000000,2021-08-24 18:00:00+00:00,1629882000000,2021-08-25 09:00:00+00:00,Short,3178.7,3090.027026451418,3088.4827850588886,3246.3739947576005,3088.4827850588886,0.67,59.41089227754989,2.1000235538612246,1.058600000000256,1.034641732994651,2.093241732994907,-1.553720086814,58.864588810502674,8917.018577142842,TP Hit,1.3102961317149495,15,False,False,False,False,2021-08-25 09:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.3331149618735738,5.746985373670132,0.08492162158086095,1.2063662729469158
P39_CAND_0551:BB Expansion Long,1630353600000,2021-08-30 20:00:00+00:00,1630360800000,2021-08-30 22:00:00+00:00,Long,3342.6,3275.0767188002005,3276.7150763383697,3276.7150763383697,3430.1412828633756,1.388,-93.72231430532155,4.5926676428473385,2.304079999999798,2.274040262978853,4.578120262978651,0.0,-98.31498194816888,8818.703595194675,SL Hit,-1.024866956613374,2,False,False,False,False,2021-08-30 22:00:00,2021-08,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.328699769206194,9.17078790582599,0.13919402795281433,1.2284158873958089
P39_CAND_0551:BB Expansion Long,1630411200000,2021-08-31 12:00:00+00:00,1630429200000,2021-08-31 17:00:00+00:00,Long,3433.5,3340.8787196342128,3342.5499946315285,3342.5499946315285,3555.7583407895445,0.988,-91.5098250013978,3.3465430874993007,1.6697200000000538,1.6512196973479876,3.3209396973480416,0.33503574,-95.19140382889711,8723.512191365779,SL Hit,-1.0183757547956687,5,False,False,False,False,2021-08-31 17:00:00,2021-08,2021,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3442367627602836,7.002518524847343,0.07699305235307684,1.2663085721195175
P39_CAND_0551:BB Expansion Long,1630515600000,2021-09-01 17:00:00+00:00,1630656000000,2021-09-03 08:00:00+00:00,Long,3754.4,3894.275019225501,3896.2231307908964,3648.8989458305546,3896.2231307908964,0.843,117.91464120709742,3.2239165206035487,1.5932699999998927,1.6422580496282089,3.2355280496281016,5.7965214633972,108.89420322309667,8832.406394588876,TP Hit,1.3258163183928708,39,False,False,False,False,2021-09-03 08:00:00,2021-09,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.344281646353162,12.25596603362885,0.11616913338083343,1.2064772176688994
P39_CAND_0551:Funding Reversal Short,1630659600000,2021-09-03 09:00:00+00:00,1630663200000,2021-09-03 10:00:00+00:00,Short,3893.8,3989.783688824701,3987.7897939277373,3987.7897939277373,3803.6902060722623,0.96,-92.1443412717129,3.7841201706358567,1.8527999999998428,1.9141391010853113,3.7669391010851543,0.0,-95.92846144234876,8736.477933146527,SL Hit,-1.0212139511498115,1,False,False,False,False,2021-09-03 10:00:00,2021-09,2021,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9587189221525234,7.5510592717210105,0.08033914062548697,0.8750323173343078
P39_CAND_0551:Funding Reversal Short,1630684800000,2021-09-03 16:00:00+00:00,1630706400000,2021-09-03 22:00:00+00:00,Short,3969.5,3873.9029878888314,3871.967004386638,4071.0529956133623,3871.967004386638,0.878,83.93417663360606,3.443253911683197,1.7647800000001916,1.6997935149256882,3.46457351492588,-1.3173134879683999,81.80823620989126,8818.28616935642,TP Hit,0.9413509816601608,6,False,False,False,False,2021-09-03 22:00:00,2021-09,2021,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.960414757085989,8.225140914577477,0.08099358236454833,0.8681669411810364
P39_CAND_0551:BB Expansion Short,1631008800000,2021-09-07 10:00:00+00:00,1631023200000,2021-09-07 14:00:00+00:00,Short,3715.4,3597.138406510211,3595.34073614214,3805.041869977659,3595.34073614214,1.005,118.85290145723792,3.674550549271381,1.8693000000001279,1.8066587199114221,3.67595871991155,0.0,115.17835090796653,8933.464520264386,TP Hit,1.3192673637805927,4,False,False,False,False,2021-09-07 14:00:00,2021-09,2021,LONDON,False,P39_CAND_0551:BB Expansion Short,1.339321277967335,7.350509269182931,0.08199861594827121,1.2577306153322392
P39_CAND_0551:BB Expansion Short,1631286000000,2021-09-10 15:00:00+00:00,1631433600000,2021-09-12 08:00:00+00:00,Short,3254.9,3362.0368845875596,3360.3567062344428,3360.3567062344428,3113.4490191188297,0.864,-92.56626828365141,2.8585167341418254,1.3823999999999215,1.4516740970929531,2.8340740970928744,-1.698519456,-93.72626556179324,8839.73825470259,SL Hit,-1.0159323993049962,41,False,False,False,False,2021-09-12 08:00:00,2021-09,2021,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.341318024542775,7.391110287234699,0.07008667870588896,1.260199183447996
