system,sleeve,sleeve_family,setup_time,setup_datetime,setup_close_time,setup_close_datetime,trigger_time,trigger_datetime,trigger_close_time,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_model,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,exit_reason,R,MFE,MAE,hold_candles,expected_r,same_candle_priority
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592960400000,2020-06-24 01:00:00+00:00,1592964000000,2020-06-24 02:00:00+00:00,1592964000000,2020-06-24 02:00:00+00:00,1592964300000,1592964300000,2020-06-24 02:05:00+00:00,1592984100000,2020-06-24 07:35:00+00:00,Long,vwap_reclaim,9652.3,9594.9,9594.9,9587.1,9761.0,0.9570000000000001,-54.931799999999654,9.2097852,4.618625550000001,4.59115965,9.2097852,0.0,-64.14158519999965,6181.7515715520985,Stop Loss,Stop Loss,-0.8803680981595183,0.0026625778311905692,0.01147809330418647,67,1.6671779141104686,SL_FIRST
pf12_event_driven_mtf_router,variant_c_5m_quality,variant_c,1592985600000,2020-06-24 08:00:00+00:00,1592989200000,2020-06-24 09:00:00+00:00,1592991600000,2020-06-24 09:40:00+00:00,1592991900000,1592991900000,2020-06-24 09:45:00+00:00,1592994900000,2020-06-24 10:35:00+00:00,Short,wick_rejection,9507.2,9378.3,9378.3,9580.8,9384.5,0.839,108.14710000000122,7.9224672499999995,3.9882704,3.9341968499999997,7.92246725,0.0,100.2246327500012,6281.9762043021,Stop Loss,Stop Loss,1.7513586956522282,0.021794008751262275,0.0032375462807134416,11,1.6671195652174342,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1592996400000,2020-06-24 11:00:00+00:00,1593000000000,2020-06-24 12:00:00+00:00,1593000000000,2020-06-24 12:00:00+00:00,1593000300000,1593000300000,2020-06-24 12:05:00+00:00,1593019500000,2020-06-24 17:25:00+00:00,Short,vwap_reclaim,9366.2,9330.1,9330.1,9462.4,9205.9,0.653,23.573300000000238,6.104341950000001,3.0580643000000003,3.04627765,6.10434195,-0.6043828440000001,18.073340894000236,6300.049545196101,Stop Loss,Stop Loss,0.37525987525988325,0.016676987465567755,0.00794238858875525,65,1.6663201663201965,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1593057600000,2020-06-25 04:00:00+00:00,1593061200000,2020-06-25 05:00:00+00:00,1593063000000,2020-06-25 05:30:00+00:00,1593063300000,1593063300000,2020-06-25 05:35:00+00:00,1593072900000,2020-06-25 08:15:00+00:00,Short,vwap_reclaim,9166.1,9279.7,9279.7,9280.6,8975.2,0.55,-62.4800000000002,5.072595000000001,2.5206775,2.5519175,5.072595,-0.5043192000000001,-67.04827580000021,6233.001269396101,Stop Loss,Stop Loss,-0.9921397379912694,0.0031049192131878275,0.012426222711949425,33,1.66724890829694,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1593093600000,2020-06-25 14:00:00+00:00,1593097200000,2020-06-25 15:00:00+00:00,1593097200000,2020-06-25 15:00:00+00:00,1593097500000,1593098400000,2020-06-25 15:20:00+00:00,1593126900000,2020-06-25 23:15:00+00:00,Long,limit_retest,9246.0,9235.5,9235.5,9132.1,9435.8,0.547,-5.7435,5.05469025,2.5287810000000004,2.52590925,5.05469025,0.5051785680000002,-11.303368818,6221.6979005781,Time Stop,Time Stop,-0.09218612818261661,0.011345446679645212,0.004148821111832206,96,1.6663740122914827,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1593140400000,2020-06-26 03:00:00+00:00,1593144000000,2020-06-26 04:00:00+00:00,1593144000000,2020-06-26 04:00:00+00:00,1593144300000,1593144300000,2020-06-26 04:05:00+00:00,1593164100000,2020-06-26 09:35:00+00:00,Short,vwap_reclaim,9227.6,9204.3,9204.3,9321.5,9071.1,0.662,15.424600000000723,6.1009589,3.0543356000000004,3.0466233000000003,6.1009589,-0.6053102920000001,9.928951392000723,6231.626851970101,Stop Loss,Stop Loss,0.24813631522897955,0.015232563180025086,0.004594910919415627,67,1.6666666666666732,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1593234000000,2020-06-27 05:00:00+00:00,1593237600000,2020-06-27 06:00:00+00:00,1593237600000,2020-06-27 06:00:00+00:00,1593237900000,1593237900000,2020-06-27 06:05:00+00:00,1593266400000,2020-06-27 14:00:00+00:00,Long,limit_retest,9168.4,9143.2,9143.2,9084.9,9307.6,0.746,-18.799199999999185,6.8302268,3.4198132,3.4104136,6.8302268,0.6844080020000001,-26.31383480199919,6205.313017168101,Time Stop,Time Stop,-0.3017964071856157,0.002983072291784866,0.0045515029885257585,96,1.6670658682634818,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1593273600000,2020-06-27 16:00:00+00:00,1593277200000,2020-06-27 17:00:00+00:00,1593277200000,2020-06-27 17:00:00+00:00,1593277500000,1593277500000,2020-06-27 17:05:00+00:00,1593283800000,2020-06-27 18:50:00+00:00,Short,vwap_reclaim,9105.3,9109.9,9109.9,9179.3,8982.0,0.838,-3.8548000000003046,7.632168799999999,3.8151206999999996,3.8170480999999996,7.632168799999999,0.0,-11.486968800000303,6193.8260483681015,Stop Loss,Stop Loss,-0.06216216216216707,0.0059152361811251435,0.004579750255345868,22,1.6662162162162064,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1593284400000,2020-06-27 19:00:00+00:00,1593288000000,2020-06-27 20:00:00+00:00,1593288000000,2020-06-27 20:00:00+00:00,1593288300000,1593288300000,2020-06-27 20:05:00+00:00,1593294900000,2020-06-27 21:55:00+00:00,Short,vwap_reclaim,8948.7,9056.1,9056.1,9051.6,8777.2,0.601,-64.54739999999978,5.410442400000001,2.68908435,2.72135805,5.4104424,0.0,-69.95784239999979,6123.868205968101,Stop Loss,Stop Loss,-1.0437317784256561,0.0021567378501906524,0.016738744175131475,23,1.6666666666666725,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1593331200000,2020-06-28 08:00:00+00:00,1593334800000,2020-06-28 09:00:00+00:00,1593334800000,2020-06-28 09:00:00+00:00,1593335100000,1593335100000,2020-06-28 09:05:00+00:00,1593356400000,2020-06-28 15:00:00+00:00,Long,vwap_reclaim,9050.3,9140.0,9140.0,8951.7,9214.7,0.621,55.70370000000045,5.6480881499999995,2.81011815,2.8379700000000003,5.64808815,0.0,50.05561185000045,6173.923817818102,Time Stop,Time Stop,0.9097363083164509,0.013657005845110148,0.0038794294111796036,72,1.6673427991886804,SL_FIRST
