group,bucket,trades,net_pnl,winners,losers,avg_R,avg_hold,avg_cost_to_risk,avg_projected_net_R
month,2020-02,4,-258.88,1,3,-0.5562746415225304,7.5,0.1608084123507773,0.7486287872299308
month,2020-03,12,929.98,10,2,0.81083432144001,9.166666666666666,0.024023520850252847,1.1647082926023706
month,2020-04,10,769.03,8,2,0.7175712202021907,22.4,0.07226056428885588,1.0796844400010375
month,2020-05,6,-126.85,2,4,-0.306810744655773,21.666666666666668,0.04250342416476611,1.134703728728509
month,2020-06,3,-308.53,0,3,-1.0225367977621924,20.666666666666668,0.04789065229274984,1.299786369889487
month,2020-07,6,39.89,3,3,0.04543966443997579,21.833333333333332,0.29066521383599747,0.8449544076347572
month,2020-08,2,-243.3,0,2,-1.0244184784989852,5.5,0.04863756674760383,0.848010918646895
month,2020-09,4,110.23,3,1,0.6138191906271684,23.25,0.05188380133591127,1.0885736353056366
month,2020-10,4,39.96,2,2,0.1543482831698471,15.0,0.079411305502422,1.2409793119086274
month,2020-11,11,145.97,6,5,0.15167008459590028,13.272727272727273,0.029813909996476873,1.0342357994435967
month,2020-12,7,-339.74,2,5,-0.40396353133512786,15.714285714285714,0.01597467094128799,1.117385551255263
month,2021-01,37,812.48,22,15,0.22907529599744086,9.64864864864865,0.0053818357216452485,1.079543294906203
month,2021-02,2,-239.86,0,2,-1.0192070215045266,8.5,0.014340453281332951,0.8481931759759482
month,2021-03,27,799.18,17,10,0.27802242978910524,11.814814814814815,0.008842794511862625,0.9749943744159588
month,2021-04,13,1189.68,11,2,0.6980662509539977,13.692307692307692,0.0173538657192727,0.8907716890406415
month,2021-05,25,608.93,14,11,0.17603460869003779,9.64,0.007027525329044802,1.0658265537233633
month,2021-06,8,-380.51,3,5,-0.1375224248119505,10.375,0.009763785192688218,1.1678916793692968
month,2021-07,5,648.88,4,1,0.8459011268416484,5.2,0.01576962709287578,1.2383400892776577
month,2021-08,10,-108.41,5,5,0.04833634819082529,14.0,0.017607300442828662,1.0761320656091842
month,2021-09,9,185.52,5,4,0.18126442685841865,7.555555555555555,0.013994209051904849,1.0616226067858088
month,2021-10,14,677.97,9,5,0.3695857867003504,27.714285714285715,0.012943905994264215,1.019968603136015
month,2021-11,15,694.49,10,5,0.3609497189122603,13.866666666666667,0.017143044915742808,0.9643226727566709
month,2021-12,9,-138.06,4,5,-0.04360546509716376,14.0,0.014326811608288649,1.1629742608451308
month,2022-01,6,511.12,4,2,0.5676729933126842,10.666666666666666,0.010272564547870374,1.2535538550184224
month,2022-02,11,334.84,6,5,0.22963394394243905,10.272727272727273,0.01562309878131431,1.1982892157671303
month,2022-03,6,76.31,3,3,0.14191533492207,31.833333333333332,0.024413931547889012,1.3334640133210123
month,2022-04,3,-543.74,0,3,-1.025706501143058,10.666666666666666,0.021801164992479926,1.3398100934252541
month,2022-05,7,644.58,5,2,0.6956136402968837,65.85714285714286,0.011239772835238039,1.3314807194386025
