asset,month,net_pnl,trades,winners,losers,win_rate,gross_profit,gross_loss,profit_factor,best_trade,worst_trade,dominant_sleeve,dominant_session,status
SOLUSDT,2025-09,186.51,4,3,1,0.75,255.95,69.44,3.6859,92.06,-69.44,P39_CAND_0551:BB Expansion Short,LONDON,positive
SOLUSDT,2025-10,321.58,9,6,3,0.6667,539.12,217.54,2.4782,96.24,-74.16,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2025-11,-21.26,7,3,4,0.4286,271.37,292.63,0.9274,90.89,-73.79,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2025-12,-65.49,7,3,4,0.4286,230.52,296.01,0.7787,96.43,-75.11,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2026-01,-217.19,3,0,3,0.0,0.0,217.19,0.0,-70.98,-73.55,P39_CAND_0551:ATR Expansion Short,NEW_YORK,negative
SOLUSDT,2026-02,-172.1,3,0,3,0.0,0.0,172.1,0.0,-33.84,-69.43,P39_CAND_0551:Funding Reversal Long,LONDON,negative
SOLUSDT,2026-03,179.57,8,5,3,0.625,349.06,169.49,2.0595,91.23,-67.96,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2026-04,-71.26,1,0,1,0.0,0.0,71.26,0.0,-71.26,-71.26,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2026-05,-140.32,4,1,3,0.25,80.64,220.96,0.3649,80.64,-74.22,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2026-06,-171.84,9,3,6,0.3333,211.72,383.57,0.552,83.64,-71.44,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
