asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1666717200000,1666717200000,1428.6,1460.5562892093446,1403.7754084735086,1461.2869326756825,3.772,120.5391,5.4489,5.585,0.0,115.0902,9194.9488,TP Hit,0
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1666796400000,1666839600000,1575.1,1526.0562512587596,1526.8196610893042,1640.3165818204109,1.935,-94.8997,3.0004,2.9865,0.6061,-98.5061,9096.4427,SL Hit,12
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1667037600000,1667120400000,1632.2,1594.379059428149,1595.176647752025,1681.6624336777434,2.513,-95.044,4.0542,4.065,0.9675,-100.0658,8996.3769,SL Hit,23
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1667566800000,1667570400000,1610.0,1652.9851782760725,1577.0792992908735,1653.8120843182314,2.801,120.4015,4.5698,4.557,0.0,115.8317,9112.2086,TP Hit,1
ETHUSDT,P39_CAND_0551:ATR Expansion Long,Long,1667926800000,1667926800000,1546.1,1479.7231618747526,1480.4633935715383,1642.5299096426925,1.406,-93.3258,2.1272,2.1796,0.0,-95.453,9016.7556,SL Hit,0
ETHUSDT,P39_CAND_0551:ATR Expansion Short,Short,1667930400000,1667934000000,1445.6,1332.2401568023085,1522.7004202550002,1331.5743696174998,1.179,133.6513,1.6375,1.6103,0.0,132.0137,9148.7693,TP Hit,1
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1667937600000,1667988000000,1312.1,1180.055134339244,1408.7493108203344,1179.4654016384247,0.953,125.8388,1.1875,1.191,0.9562,123.695,9272.4643,TP Hit,14
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1668009600000,1668085200000,1160.9,1250.301848838023,1249.6770103328568,1039.0319300932547,1.052,-94.0507,1.2683,1.2465,1.4618,-96.7809,9175.6835,SL Hit,21
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1668088800000,1668175200000,1299.5,1216.1427656151238,1216.7511411857167,1412.900081686504,1.118,-93.1934,1.4062,1.3845,-1.2856,-93.314,9082.3694,SL Hit,24
ETHUSDT,P39_CAND_0551:Low-Activity Filler Short,Short,1669201200000,1669251600000,1173.1,1204.1103590053533,1203.5086047030018,1121.6174417697468,3.05,-94.5816,3.6252,3.7569,0.4843,-98.6912,8983.6783,SL Hit,14
