family,behavior_cluster,candidates,avg_pnl,max_pf
off_hours_stricter_r,333ed79b4af59435,1,-104.83,0.9269
off_hours_stricter_r,37a7bf00c3ad109f,1,5880.04,1.3324
off_hours_stricter_r,3f6894d174a69482,1,-396.82,0.8678
off_hours_stricter_r,456f01743d5eb70c,1,5275.13,1.3085
off_hours_stricter_r,611260dea913e810,1,0.0,0.0
off_hours_stricter_r,7f55b86f95bb7672,1,-23.06,0.993
off_hours_stricter_r,8ce45cee75884a86,1,-481.88,0.8315
off_hours_stricter_r,8ee533617a619027,1,0.0,0.0
off_hours_stricter_r,8fcf72420143adae,1,3204.15,1.3737
off_hours_stricter_r,91d84738707d37f6,1,429.74,1.202
off_hours_stricter_r,a5741d4b743f64c2,1,0.0,0.0
off_hours_stricter_r,a61377714d9e4675,1,511.07,1.3244
off_hours_stricter_r,a8ae6e0a7126e199,1,0.0,0.0
off_hours_stricter_r,ab56d50ad330e1f3,1,59.75,1.0279
off_hours_stricter_r,b86c71e332fc7d3a,1,3362.25,1.1985
off_hours_stricter_r,bb5fcee95894780d,1,-481.88,0.8315
off_hours_stricter_r,c8301165ac7050b1,1,434.72,1.0889
off_hours_stricter_r,dbb2fc753504bafd,1,64.54,1.0275
off_hours_stricter_r,dedddb9c48d965a4,1,2304.02,1.3179
off_hours_stricter_r,f2d11face35d0592,1,3132.08,1.1481
off_hours_stricter_r,faa1f493cf7cafe6,1,-628.33,0.7292
off_hours_stricter_r,fea860316b8994b6,1,7553.75,1.4099
projected_net_r_gate,0ed5b2af7a959db5,1,9552.34,1.2554
projected_net_r_gate,141e6bda6e48d973,1,689.16,1.3548
projected_net_r_gate,1914e68ca45c347f,1,-522.06,0.8865
projected_net_r_gate,2e2dcec4a7d89469,1,147.34,1.1247
projected_net_r_gate,3546998f78642e8b,1,2682.79,1.1077
projected_net_r_gate,3bf65cf8166490b5,1,0.0,0.0
projected_net_r_gate,4284a3d03011c00f,1,2243.66,1.3702
projected_net_r_gate,45e7e930019e550c,1,0.0,0.0
projected_net_r_gate,4dbd38207515724c,1,0.0,0.0
projected_net_r_gate,5346200d1c14ccbd,1,1602.35,1.2368
projected_net_r_gate,62a47c0698cd1042,1,3885.9,1.3153
projected_net_r_gate,6e2c55e6ff68f45a,1,147.34,1.1247
projected_net_r_gate,721b670d03ba58bc,1,-318.93,0.3395
projected_net_r_gate,731c1e835d604c92,1,7824.87,1.4912
projected_net_r_gate,78ea13126011c8b5,1,2432.39,1.2353
projected_net_r_gate,83cc3153bba39f4c,1,-104.83,0.9269
projected_net_r_gate,9572334eee16261a,1,-312.05,0.8533
projected_net_r_gate,98c1df40868f884e,1,429.74,1.202
projected_net_r_gate,9a05aacba7e4d811,1,3112.31,1.4264
projected_net_r_gate,a28ff50bcb6234ea,1,-175.77,0.8084
projected_net_r_gate,aa69272981f496b7,1,0.0,0.0
projected_net_r_gate,ad59005372ee5538,1,7504.35,1.2476
projected_net_r_gate,b65868a1779b2360,1,-104.83,0.9269
projected_net_r_gate,bbafd2fd09f3bd70,1,349.71,1.3898
projected_net_r_gate,c5deb0049e905bcb,1,635.68,1.3996
projected_net_r_gate,d8cf9990d3940d0a,1,1886.6,1.2451
projected_net_r_gate,e952c7bcc5f28551,1,0.0,0.0
projected_net_r_gate,f1e74d439899e467,1,3127.73,1.2354
projected_net_r_gate,f223230a1bd706f8,1,-239.36,0.8248
projected_net_r_gate,f417f8cd018867f7,1,2836.86,1.3004
same_candle_hardened,010bcc07d2bfe0b0,1,-28.42,0.9586
same_candle_hardened,0b1d1707be348031,1,0.0,0.0
same_candle_hardened,11594beb6416f30b,1,1631.72,1.1993
same_candle_hardened,15905243cee150ba,1,1856.46,1.2362
same_candle_hardened,1f2573114a8f9499,1,99.77,1.0535
same_candle_hardened,2a561c3fc5f9ebc3,1,-192.43,0.9197
same_candle_hardened,3c3a95f1f73c1731,1,0.0,0.0
same_candle_hardened,4297f859b6c86b3b,1,0.0,0.0
