diff_type,protected_trades,executable_trades,common_entry_side_price_keys,missing_from_executable,extra_in_executable,status,note,key
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1585746000000, ""Long"", 6218.0]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1585785600000, ""Long"", 6644.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1586167200000, ""Long"", 7101.4]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1586505600000, ""Short"", 6916.1]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1587027600000, ""Long"", 7043.1]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1587661200000, ""Long"", 7508.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1588168800000, ""Long"", 8299.6]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1588237200000, ""Short"", 9116.3]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1588784400000, ""Short"", 9268.1]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1588874400000, ""Long"", 9844.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1589072400000, ""Short"", 8690.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1589446800000, ""Long"", 9609.8]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1590080400000, ""Short"", 9075.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1591056000000, ""Long"", 10237.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1591110000000, ""Short"", 9579.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1591894800000, ""Short"", 9086.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595098800000, ""Short"", 9179.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595782800000, ""Short"", 9901.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595833200000, ""Short"", 10283.8]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595894400000, ""Short"", 11042.1]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595952000000, ""Short"", 11159.5]"
