trade_id,source_system,original_pf12,added_pf70,added_pf80,retained_pf70,removed_pf70,modified_exit,modified_risk,sleeve,pnl
PF8_T_187,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,212.08099785197442
PF8_T_188,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,193.65336019364617
PF8_T_189,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-155.0280634644234
PF8_T_190,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-153.52550865030662
PF8_T_191,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-148.42211419175868
PF8_T_192,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,191.9362521027518
PF8_T_193,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,195.95172424258416
PF8_T_194,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-156.12765854954668
PF8_T_195,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,188.02229109049517
PF8_T_196,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,211.6616974213914
PF8_T_197,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-165.4375672590279
PF8_T_198,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-155.8648358925467
PF8_T_199,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-160.97044539796354
PF8_T_200,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,102.30813943707481
PF8_T_201,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,190.09617885204347
PF8_T_202,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,241.034047383214
PF8_T_203,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-167.0320323229541
PF8_T_204,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,189.8579710390453
PF8_T_205,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,217.44863105146862
PF8_T_206,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,204.05724955120175
PF8_T_207,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,199.39024920193188
PF8_T_208,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-164.63725169802655
PF8_T_209,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-172.84053247607417
PF8_T_210,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-166.10102588800407
PF8_T_211,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,214.953152207329
PF8_T_212,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-179.5342787579549
PF8_T_213,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,246.58114199720262
PF8_T_214,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-171.1186815892613
PF8_T_215,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,207.00874463068814
PF8_T_216,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,153.42202701591273
PF8_T_217,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,252.9285083897998
PF8_T_218,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,222.5640649269735
PF8_T_219,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,271.24920698864736
PF8_T_220,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,103.41169043817023
PF8_T_221,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-173.4787265333727
PF8_T_222,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,200.55717131416364
PF8_T_223,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,262.2390389661868
PF8_T_224,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,246.9537873786773
PF8_T_225,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-179.81159899325186
PF8_T_226,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,216.8298617084528
PF8_T_227,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-183.04480464386023
PF8_T_228,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,215.2993338821143
PF8_T_229,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,223.19132888265284
PF8_T_230,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-184.6487063543529
PF8_T_231,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-179.04561114153736
PF8_T_232,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,217.495905653403
PF8_T_233,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,209.81542455040707
PF8_T_234,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,240.54167595074588
PF8_T_235,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,-185.4519674662941
PF8_T_236,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,245.05779631093353
PF8_T_237,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,276.8623237901125
PF8_T_238,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,241.73060824877095
PF8_T_239,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,219.52064582736884
PF8_T_240,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,267.90103293591324
PF8_T_241,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,289.9062559903471
PF8_T_242,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,254.52463381332115
PF8_T_243,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,250.013414396114
PF8_T_244,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,260.2612097566696
PF8_T_245,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,157.32067244764454
PF8_T_246,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,155.36988536839226
PF8_T_247,PF1.2,YES,NO,NO,YES,NO,NO,NO,Core Retest,159.87816529135287
